Institution;Project Name;Station;Location;Country;Site Name;Site ID;Site Code;Latitude;Longitude;Easting;Northing;Projection;Datum;Transect;Transect Dir.;Transect Length;Depth;Quad;Habitat;Water Qual.;Image Date;Image Time;Photographer;Camera;Lens;Analysis Date;Analysis Tech.;File Name;Image Name;Total Points;Point #;Class ID;ID Name;ID Code;Subcategory;Major Category;Notes;X;Y
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;1;1;Porites lobata;;Por;Coral;;572;1939
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;2;1;Porites lobata;;Por;Coral;;2493;2157
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;3;1;Porites lobata;;Por;Coral;;710;2026
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;4;1;Porites lobata;;Por;Coral;;873;1890
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;5;;Porites dead;;DPor;Dead Coral Algae;;2012;1111
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;6;1;Porites lobata;;Por;Coral;;735;1787
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;7;1;Porites lobata;;Por;Coral;;1396;568
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;8;1;Porites lobata;;Por;Coral;;3039;1734
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;9;1;Porites lobata;;Por;Coral;;3356;532
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;10;;Porites dead;;DPor;Dead Coral Algae;Hal;2257;950
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;11;1;Porites lobata;;Por;Coral;;3315;629
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;12;;Porites dead;;DPor;Dead Coral Algae;;2034;1797
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;13;1;Porites lobata;;Por;Coral;;2926;2291
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;14;;Porites dead;;DPor;Dead Coral Algae;pelgre;914;1058
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;15;;Pocillopora dead;;DPoc;Dead Coral Algae;;2705;2507
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;16;1;Porites lobata;;Por;Coral;;1043;2023
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;17;1;Porites lobata;;Por;Coral;;2082;2325
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;18;;Shadow;;Sha;Tape, Wand, Shadow;;2678;1502
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;19;1;Porites lobata;;Por;Coral;;1216;1130
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;20;;Porites dead;;DPor;Dead Coral Algae;Hal;2595;772
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;21;1;Porites lobata;;Por;Coral;;769;2193
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;22;1;Porites dead free algae;;Dporfree;Coral;;2936;1943
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;23;1;Porites lobata;;Por;Coral;;2360;1315
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;24;1;Porites lobata;;Por;Coral;;1612;1333
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;25;1;Porites lobata;;Por;Coral;;3570;696
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;26;1;Porites lobata;;Por;Coral;;2142;2154
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;27;1;Porites lobata;;Por;Coral;;756;1152
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;28;;Shadow;;Sha;Tape, Wand, Shadow;;3635;1665
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;29;1;Porites lobata;;Por;Coral;;1252;1323
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;30;;Diadema;;Dia;Invertebrates;;2980;1274
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;31;1;Porites lobata;;Por;Coral;;1797;496
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;32;1;Porites dead free algae;;Dporfree;Coral;;3247;2185
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;33;1;Porites lobata;;Por;Coral;;2801;1077
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;34;;Shadow;;Sha;Tape, Wand, Shadow;;2648;1457
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;35;;Shadow;;Sha;Tape, Wand, Shadow;;3652;1487
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;36;;Shadow;;Sha;Tape, Wand, Shadow;;3389;1820
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;37;;Porites dead;;DPor;Dead Coral Algae;;1870;1549
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;38;1;Porites lobata;;Por;Coral;;1627;1704
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;39;1;Porites lobata;;Por;Coral;;1287;1020
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;40;;Diadema;;Dia;Invertebrates;;2861;1640
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;41;1;Porites lobata;;Por;Coral;;537;2226
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;42;;Porites dead;;DPor;Dead Coral Algae;Hal;1926;924
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;43;1;Porites lobata;;Por;Coral;;2852;557
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;44;1;Porites lobata;;Por;Coral;;2105;1859
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;45;1;Porites lobata;;Por;Coral;;2204;792
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;46;1;Porites lobata;;Por;Coral;;2385;620
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;47;1;Porites lobata;;Por;Coral;;712;1947
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;48;;Diadema;;Dia;Invertebrates;;3051;1405
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;49;1;Porites lobata;;Por;Coral;;1127;2257
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;1;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc;E:\Understory\Rapanui\2016\ApT1Q10IMG_0163.JPG;50;50;1;Porites lobata;;Por;Coral;;1942;1372
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;1;1;Porites lobata;;Por;Coral;;2425;2399
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;2;1;Porites lobata;;Por;Coral;;2758;1476
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;3;1;Porites lobata;;Por;Coral;;2927;1615
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;4;1;Porites lobata;;Por;Coral;;2847;1057
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;5;1;Porites lobata;;Por;Coral;;1361;2176
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;6;1;Porites lobata;;Por;Coral;;2370;2125
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;7;1;Porites lobata;;Por;Coral;;3120;2395
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;8;1;Porites lobata;;Por;Coral;;2971;566
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;9;1;Porites lobata;;Por;Coral;;2751;1493
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;10;1;Porites lobata;;Por;Coral;;900;2481
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;11;1;Porites lobata;;Por;Coral;;2294;966
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;12;1;Porites lobata;;Por;Coral;;2519;2105
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;13;1;Porites lobata;;Por;Coral;;2095;2335
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;14;1;Porites lobata;;Por;Coral;;2465;857
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;15;1;Porites lobata;;Por;Coral;;1212;1029
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;16;1;Porites lobata;;Por;Coral;;1520;1772
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;17;1;Porites lobata;;Por;Coral;;3320;2056
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;18;;Pocillopora dead;;DPoc;Dead Coral Algae;;3514;1510
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;19;;Halimeda;;Hal;Algae;;1877;1048
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;20;1;Porites lobata;;Por;Coral;;3126;2020
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;21;;Pocillopora dead;;DPoc;Dead Coral Algae;;3174;1657
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;22;1;Porites lobata;;Por;Coral;;2992;853
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;23;1;Porites lobata;;Por;Coral;;1447;2042
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;24;1;Porites lobata;;Por;Coral;;2708;1134
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;25;1;Porites lobata;;Por;Coral;;2207;1096
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;26;1;Porites lobata;;Por;Coral;;724;2329
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;27;;Pocillopora dead;;DPoc;Dead Coral Algae;INDfol;3491;814
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;28;1;Porites lobata;;Por;Coral;;1176;2274
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;29;1;Pocillopora spp;;Poc;Coral;;1698;856
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;30;1;Porites lobata;;Por;Coral;;2039;925
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;31;1;Porites lobata;;Por;Coral;;3294;2440
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;32;1;Porites lobata;;Por;Coral;;1009;2446
;F1151094;;Rapanui;Chile;Anakena;Ap;;;;;;;;1;;25;15;2;Coral;;May-16;;;;gran angular;;Cata;C:\CPCe_41_inst\rapanui2016\ApT1Q3IMG_0156.cpc;E:\Understory\Rapanui\2016\ApT1Q3IMG_0156.JPG;50;33;;Porites dead;;DPor;Dead Coral Algae;pelgre;569;786
